HDV Class / Power demand per share,Long haul,Regional delivery,Urban delivery,Municipal utility,Construction,Heavy Urban,Urban,Suburban,Interurban,Coach
1,0,110/130/20/0,100/120/20/30,0,0,0,0,0,0,0
2,150/190/30/0,130/160/30/0,120/140/20/30,0,0,0,0,0,0,0
3,0,140/170/30/0,130/150/30/40,0,0,0,0,0,0,0
4,230/280/100/0,220/270/40/0,0,220/270/40/0,0,0,0,0,0,0
5,270/330/120/0,250/290/90/0,220/260/80/60,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,270/330/120/0,220/270/60/0,0,220/270/60/0,0,0,0,0,0,0
10,200/250/120/0,200/240/90/0,0,0,0,0,0,0,0,0
