Wheel,Inertia,d,Size-Class (0/1)
9.5 R17.5,4.9,842,a
9.00 R20,10.5,1018,a
9 R22.5,8.9,970,a
10 R17.5,5,858,a
10 R22.5,11,1020,a
10.00 R20,13.1,1025,a
11 R22.5,14.4,1050,a
11.00 R20,14.6,1082,a
11.00 R22,16,1089.66,a
12 R22.5,16.85,1084,a
12.00 R20,19.5,1122,a
12.00 R24,27.7,1226,a
12.5 R20,12.7,1120,a
13 R22.5,20,1124,a
14.00 R20,30.8,1238,a
14.5 R20,14.8,1092,a
16.00 R20,47.5,1343,a
205/75 R17.5,3.5,752,a
215/75 R17.5,3.9,767,a
225/70 R17.5,4,759.5,a
225/75 R17.5,4,782,a
235/75 R17.5,4.5,797,a
245/70 R17.5,5.2,787.5,a
245/70 R19.5,6,838.3,a
255/70 R22.5,9.5,928.5,a
265/70 R17.5,5.6,817,a
265/70 R19.5,6.5,866.3,a
275/70 R22.5,11.9,956.5,a
275/80 R22.5,12.8,1011.5,a
285/60 R22.5,10.6,913.5,a
285/70 R19.5,7.9,894.3,a
295/55 R22.5,10.2,896,a
295/60 R22.5,10.8,925.5,a
295/80 R22.5,15.5,1043.5,a
305/60 R22.5,11.4,922.3,a
305/70 R19.5,9.2,998.5,a
305/70 R22.5,13.9,998.5,a
305/75 R24.5,21.2,1079.8,a
315/45 R22.5,9.9,855,a
315/60 R22.5,12.8,949.5,a
315/70 R22.5,14.9,1012.5,a
315/80 R22.5,17.6,1075.5,a
325/95 R24,27.6,1227.1,a
335/80 R20,13.5,1044,a
355/50 R22.5,12.2,926.5,a
365/70 R22.5,18.6,1082.5,a
365/80 R20,17.2,1092,a
365/85 R20,22.5,1128.5,a
375/45 R22.5,11.2,909,a
375/50 R22.5,13,946.5,a
375/90 R22.5,33.8,1246.5,a
385/55 R22.5,15.9,995,a
385/65 R22.5,19.2,1072,a
395/85 R20,27.9,1179.5,a
425/65 R22.5,22.5,1124,a
495/45 R22.5,20.7,1017,a
525/65 R20.5,35,1203.2,a
