Category    , BenefitName                                                                                                   , LowFloorH , LowFloorV , LowFloorC , SemiLowFloorH , SemiLowFloorV , SemiLowFloorC , RaisedFloorH , RaisedFloorV , RaisedFloorC , OnVehicle , ActiveVH , ActiveVV , ActiveVC , LineType , H      , VH     , VV     , VC     , C
Insulation  , Double-glazing (g-value reduction- u-value reduction)                                                         , 0.0       , 0.0       , 0.0       , 0.02          , 0.0           , 0.012         , 0.02         , 0.0          , 0.025        , 1         , 0        , 0        , 0        , 0        , 0.02   , 0.0    , 0.0    , 0.0    , 0.025
Heating     , Heat pump systems (increase heating efficiency)                                                               , 0.01      , 0.0       , 0.0       , 0.02          , 0.0           , 0.0           , 0.005        , 0.0          , 0.0          , 1         , 0        , 0        , 0        , 0        , 0.005  , 0.0    , 0.0    , 0.0    , 0.0


Insulation  , Foils (g-value reduction)                                                                                     , 0.01      , 0.0       , 0.01      , 0.01          , 0.0           , 0.01          , 0.01         , 0.0          , 0.01         , 1         , 0        , 0        , 0        , 0        , 0.01   , 0.0    , 0.0    , 0.0    , 0.01
Insulation  , Heat insulation glazing (u-value reduction)                                                                   , 0.005     , 0.0       , 0.01      , 0.01          , 0.0           , 0.028         , 0.01         , 0.0          , 0.024        , 1         , 0        , 0        , 0        , 0        , 0.01   , 0.0    , 0.0    , 0.0    , 0.024
Insulation  , Roof insulation (u-value reduction)                                                                           , 0.02      , 0.0       , -0.01     , -0.01         , 0.0           , -0.012        , -0.01        , 0.0          , -0.032       , 1         , 0        , 0        , 0        , 0        , -0.01  , 0.0    , 0.0    , 0.0    , -0.032
Insulation  , Wall insulation (u-value reduction)                                                                           , 0.01      , 0.0       , 0.02      , 0.02          , 0.0           , 0.019         , 0.02         , 0.0          , 0.05         , 1         , 0        , 0        , 0        , 0        , 0.02   , 0.0    , 0.0    , 0.0    , 0.05
Insulation  , Floor insulation (u-value reduction)                                                                          , 0.0       , 0.0       , 0.0       , 0.02          , 0.0           , 0.027         , 0.02         , 0.0          , 0.012        , 1         , 0        , 0        , 0        , 0        , 0.02   , 0.0    , 0.0    , 0.0    , 0.012
Insulation  , Door insulation (u-value reduction)                                                                           , 0.01      , 0.0       , 0.02      , 0.01          , 0.0           , 0.028         , 0.01         , 0.0          , 0.021        , 1         , 0        , 0        , 0        , 0        , 0.01   , 0.0    , 0.0    , 0.0    , 0.021
Insulation  , Clearance between door frame / door leaf  (different solutions bristles / rubberseals)  (reduced leckage air) , 0.01      , 0.0       , 0.02      , 0.005         , 0.0           , 0.036         , 0.008        , 0.0          , 0.041        , 1         , 0        , 0        , 0        , 0        , 0.008  , 0.0    , 0.0    , 0.0    , 0.041
Insulation  , Insulation of heating and cooling pipes (increase heating efficiency)                                         , 0.01      , 0.0       , 0.02      , 0.01          , 0.0           , 0.024         , 0.01         , 0.0          , 0.029        , 1         , 0        , 0        , 0        , 0        , 0.01   , 0.0    , 0.0    , 0.0    , 0.029
Insulation  , Changeable glas (g-value)                                                                                     , 0.005     , 0.0       , 0.01      , 0.01          , 0.0           , 0.025         , 0.011        , 0.0          , 0.025        , 1         , 0        , 0        , 0        , 0        , 0.011  , 0.0    , 0.0    , 0.0    , 0.025
Insulation  , Reflective paintings                                                                                          , 0.005     , 0.0       , 0.005     , 0.005         , 0.0           , 0.02          , 0.005        , 0.0          , 0.012        , 1         , 0        , 0        , 0        , 0        , 0.005  , 0.0    , 0.0    , 0.0    , 0.012
Insulation  , Insulation of engine compartment                                                                              , 0.0       , 0.0       , 0.01      , 0.0           , 0.0           , 0.023         , 0.0          , 0.0          , 0.02         , 1         , 0        , 0        , 0        , 0        , 0.0    , 0.0    , 0.0    , 0.0    , 0.02
Ventilation , Fan engines (EC- Brush) (efficiency)                                                                          , 0.0       , 0.01      , 0.0       , 0.0           , 0.03          , 0.0           , 0.0          , 0.018        , 0.0          , 1         , 1        , 1        , 1        , 3        , 0.0    , 0.018  , 0.018  , 0.018  , 0.0
Ventilation , Fan controll strategy (serial / parallel)                                                                     , 0.0       , 0.005     , 0.0       , 0.0           , 0.017         , 0.0           , 0.0          , 0.02         , 0.0          , 1         , 1        , 1        , 1        , 3        , 0.0    , 0.02   , 0.02   , 0.02   , 0.0
Ventilation , Air curtain (reduces air exchange between in-cabin room and environment                                       , 0.01      , -0.005    , 0.01      , 0.0           , 0.0           , 0.0           , 0.0          , 0.0          , 0.0          , 1         , 0        , 0        , 0        , 0        , 0.0    , 0.0    , 0.0    , 0.0    , 0.0
Ventilation , Partial air recirculation                                                                                     , 0.02      , 0.0       , -0.01     , -0.01         , 0.0           , -0.012        , -0.01        , 0.0          , -0.032       , 1         , 0        , 0        , 0        , 0        , -0.01  , 0.0    , 0.0    , 0.0    , -0.032
Ventilation , Variable fresh air rate (influence on heating / cooling demand)                                               , 0.0       , 0.0       , 0.0       , -0.01         , 0.0           , -0.012        , -0.01        , 0.0          , -0.032       , 1         , 0        , 0        , 0        , 0        , -0.01  , 0.0    , 0.0    , 0.0    , -0.032
Heating     , Engine waste heat recovery (reduces heating demand for auxillary heater) ALREADY IMPLEMENTED                  , 0.014     , 0.0       , 0.0       , 0.024         , 0.0           , 0.0           , 0.01         , 0.0          , 0.0          , 1         , 0        , 0        , 0        , 0        , 0.01   , 0.0    , 0.0    , 0.0    , 0.0
Heating     , Heat storage (increase heating efficiency)                                                                    , 0.012     , 0.0       , 0.0       , 0.028         , 0.0           , 0.0           , 0.005        , 0.0          , 0.0          , 1         , 0        , 0        , 0        , 0        , 0.005  , 0.0    , 0.0    , 0.0    , 0.0
Heating     , Position of heatexchangers in-cabin room (air flow towards walls / windows)                                   , 0.02      , 0.0       , 0.0       , 0.019         , 0.0           , 0.0           , 0.03         , 0.0          , 0.0          , 1         , 0        , 0        , 0        , 0        , 0.03   , 0.0    , 0.0    , 0.0    , 0.0
Heating     , Heated surfaces                                                                                               , -0.01     , 0.0       , 0.0       , -0.012        , 0.0           , 0.0           , -0.032       , 0.0          , 0.0          , 1         , 0        , 0        , 0        , 0        , -0.032 , 0.0    , 0.0    , 0.0    , 0.0
Heating     , Heated seats                                                                                                  , 0.01      , 0.0       , 0.0       , 0.01          , 0.0           , 0.0           , 0.01         , 0.0          , 0.0          , 1         , 0        , 0        , 0        , 0        , 0.01   , 0.0    , 0.0    , 0.0    , 0.0
Heating     , Aux. heater type (heated medium water- air) (efficiency value)(energy source- fuel ptc)                       , 0.02      , 0.0       , 0.0       , 0.015         , 0.0           , 0.0           , 0.02         , 0.0          , 0.0          , 1         , 0        , 0        , 0        , 0        , 0.02   , 0.0    , 0.0    , 0.0    , 0.0
Cooling     , Adjustable compressorpower (cooling power variable) ALREADY IMPLEMENTED                                       , 0.0       , 0.0       , 0.01      , 0.0           , 0.0           , 0.01          , 0.0          , 0.0          , 0.02         , 1         , 0        , 0        , 0        , 0        , 0.0    , 0.0    , 0.0    , 0.0    , 0.02
Cooling     , Different sizes of air ducts (pressure loss effects power consumption of the fan engines)                     , 0.0       , -0.01     , 0.0       , 0.0           , -0.012        , 0.0           , 0.0          , -0.032       , 0.0          , 1         , 1        , 1        , 1        , 3        , 0.0    , -0.032 , -0.032 , -0.032 , 0.0
Cooling     , Low temperature storages / storage vaporizer                                                                  , 0.0       , 0.0       , 0.014     , 0.0           , 0.0           , 0.012         , 0.0          , 0.0          , 0.012        , 1         , 0        , 0        , 0        , 0        , 0.0    , 0.0    , 0.0    , 0.0    , 0.012
Cooling     , Speed depending air conditioning                                                                              , 0.0       , 0.0       , 0.018     , 0.0           , 0.0           , 0.02          , 0.0          , 0.0          , 0.021        , 1         , 0        , 0        , 0        , 0        , 0.0    , 0.0    , 0.0    , 0.0    , 0.021
Cooling     , Ejector                                                                                                       , 0.0       , 0.0       , 0.023     , 0.0           , 0.0           , 0.024         , 0.0          , 0.0          , 0.012        , 1         , 0        , 0        , 0        , 0        , 0.0    , 0.0    , 0.0    , 0.0    , 0.012
Cooling     , Downhill  savings (determine diff. between effect for mech. & electr. Comp. regarding fuel consumpt.)         , 0.0       , 0.0       , 0.01      , 0.0           , 0.0           , 0.028         , 0.0          , 0.0          , 0.021        , 1         , 0        , 0        , 0        , 0        , 0.0    , 0.0    , 0.0    , 0.0    , 0.021
