Amp,RPM,Efficiency
10,1500,61.50
27,1500,70.00
53,1500,19.47
63,1500,0.00
68,1500,0.00
125,1500,0.00
136,1500,0.00
10,2000,62.00
27,2000,70.00
53,2000,30.00
63,2000,14.62
68,2000,6.92
125,2000,0.00
136,2000,0.00
10,4000,64.00
27,4000,67.21
53,4000,72.11
63,4000,74.00
68,4000,73.52
125,4000,68.00
136,4000,66.94
10,6000,53.00
27,6000,57.98
53,6000,65.60
63,6000,68.53
68,6000,70.00
125,6000,63.29
136,6000,62.00
10,7000,47.50
27,7000,53.37
53,7000,62.35
63,7000,65.80
68,7000,68.24
125,7000,60.94
136,7000,59.53
