Amp,RPM,Efficiency
10,1500,zzz
27,1500,0.70
53,1500,0.1947
63,1500,0.00
68,1500,0.00
125,1500,0.00
136,1500,0.00
10,2000,0.62
27,2000,0.70
53,2000,0.30
63,2000,0.1462
68,2000,0.692
125,2000,0.00
136,2000,0.00
10,4000,0.64
27,4000,0.6721
53,4000,0.7211
63,4000,0.7400
68,4000,0.7352
125,4000,0.6800
136,4000,0.6694
10,6000,0.5300
27,6000,0.5798
53,6000,0.6560
63,6000,0.6853
68,6000,0.7000
125,6000,0.6329
136,6000,0.6200
10,7000,0.4750
27,7000,0.5337
53,7000,0.6235
63,7000,0.6580
68,7000,0.6824
125,7000,0.6094
136,7000,0.5953
