Bus Model,Type,engine Type,length in m,wide in m,height in m,registered passengers
IVECO - Arway Intercity 10.6m,raised floor,diesel,-20000000,2.550,2.275,47
IVECO - Arway Intercity 12.8m,raised floor,diesel,12.756,2.550,2.275,59
IVECO - Arway Intercity 12m,raised floor,diesel,11.991,2.550,2.275,55
IVECO - Bus GX 127,low floor,diesel,9.495,2.330,2.395,60
IVECO - Citelis 10.5m,low floor,diesel,10.460,2.500,2.344,91
IVECO - Citelis 10.5m CNG,low floor,gas,10.460,2.500,2.344,91
IVECO - Citelis 12m,low floor,diesel,11.990,2.500,2.344,97
IVECO - Citelis 12m CNG,low floor,gas,11.990,2.500,2.344,89
IVECO - Citelis 12m Hybrid,low floor,hybrid,11.990,2.500,2.344,83
IVECO - Citelis 18m  ,low floor,diesel,17.900,2.500,2.344,155
IVECO - Citelis 18m CNG,low floor,gas,17.900,2.500,2.344,149
IVECO - Citelis 18m Hybrid,low floor,hybrid,17.900,2.500,2.344,140
IVECO - Crossway Intercity 10.6m,raised floor,diesel,10.655,2.550,2.275,47
IVECO - Crossway Intercity 12.8m,raised floor,diesel,12.760,2.550,2.275,59
IVECO - Crossway Intercity 12m,raised floor,diesel,11.995,2.550,2.275,55
IVECO - Crossway LE City 10.8m,semi low floor,diesel,10.790,2.550,2.300,90
IVECO - Crossway LE City 12.8m,semi low floor,diesel,12.760,2.550,2.300,105
IVECO - Crossway LE City 12m,semi low floor,diesel,11.995,2.550,2.300,108
IVECO - Crossway LE Intercity 10.8m,semi low floor,diesel,10.790,2.550,2.300,76
IVECO - Crossway LE Intercity 12.8m,semi low floor,diesel,12.760,2.550,2.300,91
IVECO - Crossway LE Intercity 12m,semi low floor,diesel,11.995,2.550,2.300,89
IVECO - Evasys HD 12.8m,raised floor,diesel,12.760,2.550,2.036,59
IVECO - Evasys HD 12m,raised floor,diesel,11.995,2.550,2.036,55
IVECO - Magelys HD 12.2m,raised floor,diesel,12.200,2.550,2.100,48
IVECO - Magelys HD 12.8m,raised floor,diesel,12.765,2.550,2.100,52
IVECO - Magelys HDH 13.8m,raised floor,diesel,13.800,2.550,2.100,61
IVECO - Magelys Pro 12.2m,raised floor,diesel,12.200,2.550,2.100,53
IVECO - Magelys Pro 12.8m,raised floor,diesel,12.765,2.550,2.100,57
MAN - Lion's City,low floor,diesel,11.980,2.500,2.300,95
MAN - Lion's City C ,low floor,diesel,13.680,2.500,2.300,98
MAN - Lion's City C CNG,low floor,gas,13.680,2.500,2.300,98
MAN - Lion's City CNG,low floor,gas,11.980,2.500,2.300,95
MAN - Lion's City G,low floor,diesel,17.980,2.500,2.300,150
MAN - Lion's City G CNG,low floor,gas,17.980,2.500,2.300,144
MAN - Lion's City GL,low floor,diesel,18.750,2.500,2.300,165
MAN - Lion's City GL CNG,low floor,gas,18.750,2.500,2.300,158
MAN - Lion's City L,low floor,diesel,14.705,2.500,2.300,120
MAN - Lion's City L CNG,low floor,gas,14.705,2.500,2.300,114
MAN - Lion's City LE,low floor,diesel,11.857,2.550,2.300,36
MAN - Lion's City LE Ü,low floor,diesel,11.857,2.550,2.300,40
MAN - Lion's City Ü,low floor,diesel,11.980,2.500,2.300,95
MAN - Lion's City Ü CNG,low floor,gas,11.980,2.500,2.300,95
MAN - Lion's Coach,raised floor,diesel,12.000,2.550,2.100,49
MAN - Lion's Coach C,raised floor,diesel,13.260,2.550,2.100,55
MAN - Lion's Coach L,raised floor,diesel,13.800,2.550,2.100,57
MAN - Lion's Regio,raised floor,diesel,12.250,2.550,2.200,56
MAN - Lion's Regio C,raised floor,diesel,13.010,2.550,2.200,60
MAN - Lion's Regio L,raised floor,diesel,13.900,2.550,2.200,64
Mercedes-Benz - Citaro,low floor,diesel,11.950,2.550,2.313,106
Mercedes-Benz - Citaro CNG,low floor,gas,11.950,2.550,2.313,98
Mercedes-Benz - Citaro D,low floor,diesel,12.105,2.550,2.313,106
Mercedes-Benz - Citaro G,low floor,diesel,17.940,2.550,2.313,159
Mercedes-Benz - Citaro G CNG,low floor,gas,17.940,2.550,2.313,153
Mercedes-Benz - Citaro GÜ,semi low floor,diesel,17.940,2.550,2.313,130
Mercedes-Benz - Citaro K,low floor,diesel,10.503,2.550,2.313,87
Mercedes-Benz - Citaro LE,low floor,diesel,12.040,2.550,2.318,101
Mercedes-Benz - Citaro LE MÜ,low floor,diesel,13.057,2.550,2.318,83
Mercedes-Benz - Citaro LE Ü,low floor,diesel,12.040,2.550,2.318,83
Mercedes-Benz - Citaro LÜ,semi low floor,diesel,14.995,2.550,2.313,110
Mercedes-Benz - Citaro MÜ,semi low floor,diesel,13.008,2.550,2.313,89
Mercedes-Benz - Citaro Ü,semi low floor,diesel,11.950,2.550,2.313,83
Mercedes-Benz - Integro,raised floor,diesel,12.140,2.550,2.170,53
Mercedes-Benz - Integro L,raised floor,diesel,14.920,2.550,2.170,69
Mercedes-Benz - Integro M,raised floor,diesel,12.980,2.550,2.170,57
Mercedes-Benz - Tourino,raised floor,diesel,9.350,2.400,2.000,34
Mercedes-Benz - Tourismo,raised floor,diesel,12.140,2.550,2.010,51
Mercedes-Benz - Tourismo L,raised floor,diesel,13.990,2.550,2.010,59
Mercedes-Benz - Tourismo M,raised floor,diesel,12.960,2.550,2.010,55
Mercedes-Benz - Tourismo M/2,raised floor,diesel,12.960,2.550,2.010,55
