Vehicle Group , ADAS Combination , LongHaul      , LongHaul EMS  , Regional Delivery , Regional Delivery EMS , Urban Delivery
4             , 1                , -0.05%/-0.04% ,               , -0.52%/-0.48%     ,                       , -0.69%/-0.69%
4             , 2                , -0.01%/-0.02% ,               , -0.08%/-0.10%     ,                       , 0.00%/0.00%
4             , 3                , -0.04%/-0.05% ,               , -0.15%/-0.22%     ,                       , 0.00%/0.00%
4             , 4/1	             , -0.10%/-0.36% ,               , -0.03%/-0.13%     ,                       , 0.00%/0.00%
4             , 4/2	             , -0.10%/-0.51% ,               , -0.07%/-0.23%     ,                       , 0.00%/0.00%
4             , 5                , -0.07%/-0.06% ,               , -0.60%/-0.57%     ,                       , -0.69%/-0.69%
4             , 6                , -0.09%/-0.09% ,               , -0.67%/-0.70%     ,                       , -0.69%/-0.69%
4             , 7/1	             , -0.15%/-0.40% ,               , -0.56%/-0.61%     ,                       , -0.69%/-0.69%
4             , 7/2	             , -0.15%/-0.55% ,               , -0.59%/-0.70%     ,                       , -0.69%/-0.69%
4             , 8/1	             , -0.11%/-0.37% ,               , -0.10%/-0.21%     ,                       , 0.00%/0.00%
4             , 8/2	             , -0.11%/-0.52% ,               , -0.12%/-0.28%     ,                       , 0.00%/0.00%
4             , 9/1	             , -0.13%/-0.40% ,               , -0.15%/-0.31%     ,                       , 0.00%/0.00%
4             , 9/2	             , -0.13%/-0.54% ,               , -0.16%/-0.36%     ,                       , 0.00%/0.00%
4             , 10/1             , -0.16%/-0.42% ,               , -0.62%/-0.69%     ,                       , -0.69%/-0.69%
4             , 10/2             , -0.16%/-0.56% ,               , -0.64%/-0.76%     ,                       , -0.69%/-0.69%
4             , 11/1             , -0.18%/-0.45% ,               , -0.68%/-0.79%     ,                       , -0.69%/-0.69%
4             , 11/2             , -0.18%/-0.58% ,               , -0.68%/-0.84%     ,                       , -0.69%/-0.69%
#----------------------------------------------------------------------------------------------------------------------------
5             , 1                , -0.06%/-0.04% , -0.05%/-0.03% , -0.42%/-0.34%     , -0.33%/-0.26%         , -0.69%/-0.69%
5             , 2                , -0.03%/-0.10% , 0.00%/-0.05%  , -0.08%/-0.09%     , -0.22%/0.00%          , 0.00%/0.00%
5             , 3                , -0.06%/-0.18% , -0.03%/-0.13% , -0.21%/-0.22%     , -0.29%/-0.11%         , 0.00%/0.00%
5             , 4/1              , -0.17%/-0.48% , -0.23%/-0.10% , -0.22%/-0.62%     , -0.34%/-0.52%         , 0.00%/0.00%
5             , 4/2              , -0.20%/-0.68% , -0.30%/-0.35% , -0.35%/-0.93%     , -0.52%/-0.84%         , 0.00%/0.00%
5             , 5                , -0.09%/-0.14% , -0.05%/-0.08% , -0.50%/-0.43%     , -0.55%/-0.26%         , -0.69%/-0.69%
5             , 6                , -0.12%/-0.23% , -0.08%/-0.16% , -0.63%/-0.56%     , -0.62%/-0.37%         , -0.69%/-0.69%
5             , 7/1              , -0.22%/-0.52% , -0.28%/-0.13% , -0.64%/-0.96%     , -0.68%/-0.78%         , -0.69%/-0.69%
5             , 7/2              , -0.26%/-0.72% , -0.34%/-0.38% , -0.77%/-1.27%     , -0.85%/-1.10%         , -0.69%/-0.69%
5             , 8/1              , -0.19%/-0.55% , -0.24%/-0.14% , -0.28%/-0.70%     , -0.52%/-0.52%         , 0.00%/0.00%
5             , 8/2              , -0.22%/-0.74% , -0.30%/-0.38% , -0.40%/-0.99%     , -0.65%/-0.84%         , 0.00%/0.00%
5             , 9/1              , -0.22%/-0.62% , -0.26%/-0.20% , -0.39%/-0.80%     , -0.58%/-0.61%         , 0.00%/0.00%
5             , 9/2              , -0.24%/-0.79% , -0.32%/-0.43% , -0.48%/-1.07%     , -0.70%/-0.91%         , 0.00%/0.00%
5             , 10/1             , -0.25%/-0.60% , -0.28%/-0.17% , -0.70%/-1.03%     , -0.85%/-0.78%         , -0.69%/-0.69%
5             , 10/2             , -0.28%/-0.78% , -0.35%/-0.41% , -0.82%/-1.32%     , -0.98%/-1.10%         , -0.69%/-0.69%
5             , 11/1             , -0.28%/-0.67% , -0.31%/-0.23% , -0.81%/-1.14%     , -0.91%/-0.87%         , -0.69%/-0.69%
5             , 11/2             , -0.30%/-0.83% , -0.36%/-0.46% , -0.90%/-1.40%     , -1.03%/-1.16%         , -0.69%/-0.69%
#----------------------------------------------------------------------------------------------------------------------------
9             , 1                , -0.05%/-0.04% , -0.04%/-0.03% , -0.50%/-0.43%     , -0.32%/-0.25%         ,
9             , 2                , -0.01%/-0.11% , -0.01%/-0.05% , -0.08%/-0.08%     , -0.04%/-0.04%         ,
9             , 3                , -0.03%/-0.20% , -0.04%/-0.12% , -0.18%/-0.21%     , -0.15%/-0.15%         ,
9             , 4/1              , -0.12%/-0.42% , -0.22%/-0.10% , -0.11%/-0.29%     , -0.31%/-0.57%         ,
9             , 4/2              , -0.13%/-0.60% , -0.27%/-0.33% , -0.19%/-0.45%     , -0.48%/-0.88%         ,
9             , 5                , -0.06%/-0.15% , -0.06%/-0.08% , -0.57%/-0.51%     , -0.36%/-0.29%         ,
9             , 6                , -0.08%/-0.24% , -0.09%/-0.16% , -0.68%/-0.64%     , -0.47%/-0.41%         ,
9             , 7/1              , -0.17%/-0.46% , -0.26%/-0.13% , -0.61%/-0.72%     , -0.63%/-0.82%         ,
9             , 7/2              , -0.18%/-0.64% , -0.32%/-0.36% , -0.68%/-0.89%     , -0.80%/-1.13%         ,
9             , 8/1              , -0.13%/-0.50% , -0.23%/-0.14% , -0.18%/-0.35%     , -0.34%/-0.60%         ,
9             , 8/2              , -0.14%/-0.66% , -0.28%/-0.36% , -0.23%/-0.50%     , -0.50%/-0.90%         ,
9             , 9/1              , -0.15%/-0.58% , -0.25%/-0.19% , -0.26%/-0.46%     , -0.43%/-0.69%         ,
9             , 9/2              , -0.15%/-0.72% , -0.30%/-0.40% , -0.30%/-0.58%     , -0.57%/-0.97%         ,
9             , 10/1             , -0.18%/-0.54% , -0.27%/-0.17% , -0.67%/-0.79%     , -0.66%/-0.85%         ,
9             , 10/2             , -0.19%/-0.70% , -0.32%/-0.39% , -0.73%/-0.93%     , -0.82%/-1.15%         ,
9             , 11/1             , -0.20%/-0.62% , -0.30%/-0.23% , -0.75%/-0.89%     , -0.75%/-0.94%         ,
9             , 11/2             , -0.20%/-0.76% , -0.34%/-0.43% , -0.79%/-1.01%     , -0.89%/-1.22%         ,
#----------------------------------------------------------------------------------------------------------------------------
10            , 1                , -0.06%/-0.04% , -0.04%/-0.03% , -0.41%/-0.33%     , -0.32%/-0.25%         ,
10            , 2                , -0.03%/-0.08% , 0.00%/-0.05%  , -0.06%/-0.08%     , -0.05%/0.00%          ,
10            , 3                , -0.06%/-0.16% , -0.03%/-0.12% , -0.20%/-0.21%     , -0.16%/-0.11%         ,
10            , 4/1              , -0.19%/-0.48% , -0.25%/-0.11% , -0.25%/-0.65%     , -0.37%/-0.59%         ,
10            , 4/2              , -0.23%/-0.68% , -0.32%/-0.35% , -0.40%/-0.95%     , -0.56%/-0.90%         ,
10            , 5                , -0.08%/-0.12% , -0.04%/-0.08% , -0.47%/-0.41%     , -0.37%/-0.26%         ,
