ADAS Combination , Engine Stop Start , EcoRoll without Engine Stop , EcoRoll with Engine Stop , Predictive Cruise Control , Allowed AMT , Allowed AT , Allowed MT
0                , 0                 , 0                           , 0                        , none                      , 1           , 1          , 1
1                , 1                 , 0                           , 0                        , none                      , 1           , 1          , 1
2                , 0                 , 1                           , 0                        , none                      , 1           , 1          , 0
3                , 0                 , 0                           , 1                        , none                      , 1           , 0          , 0
4/1              , 0                 , 0                           , 0                        , "1_2"                     , 1           , 1          , 1
4/2              , 0                 , 0                           , 0                        , "1_2_3"                   , 1           , 1          , 1
5                , 1                 , 1                           , 0                        , none                      , 1           , 1          , 0
6                , 1                 , 0                           , 1                        , none                      , 1           , 0          , 0
7/1              , 1                 , 0                           , 0                        , "1_2"                     , 1           , 1          , 1
7/2              , 1                 , 0                           , 0                        , "1_2_3"                   , 1           , 1          , 1
8/1              , 0                 , 1                           , 0                        , "1_2"                     , 1           , 1          , 0
8/2              , 0                 , 1                           , 0                        , "1_2_3"                   , 1           , 1          , 0
9/1              , 0                 , 0                           , 1                        , "1_2"                     , 1           , 0          , 0
9/2              , 0                 , 0                           , 1                        , "1_2_3"                   , 1           , 0          , 0
10/1             , 1                 , 1                           , 0                        , "1_2"                     , 1           , 1          , 0
10/2             , 1                 , 1                           , 0                        , "1_2_3"                   , 1           , 1          , 0
11/1             , 1                 , 0                           , 1                        , "1_2"                     , 1           , 0          , 0
11/2             , 1                 , 0                           , 1                        , "1_2_3"                   , 1           , 0          , 0
