Configuration , Heavy Urban , Urban , Suburban , Interurban , Coach
1             , 5.00        , 5.00  , 5.00     , 5.00       , 4.00
2             , 5.00        , 5.00  , 5.00     , 5.00       , 4.00
3             , 0.00        , 0.00  , 0.00     , 0.00       , 0.00
4             , 5.00        , 5.00  , 5.00     , 5.00       , 4.00
5             , 0.00        , 0.00  , 0.00     , 0.00       , 0.00
6             , 3.50        , 3.50  , 3.50     , 3.00       , 2.50
7             , 5.00        , 5.00  , 5.00     , 5.00       , 4.00
8             , 0.00        , 0.00  , 0.00     , 0.00       , 0.00
9             , 5.00        , 5.00  , 5.00     , 5.00       , 4.00
10            , 5.00        , 5.00  , 5.00     , 5.00       , 4.00
