Configuration , Heavy Urban , Urban , Suburban , Interurban , Coach
1             , 0.00        , 0.00  , 0.00     , 0.00       , 0.00
2             , 0.00        , 0.00  , 0.00     , 0.00       , 0.00
3             , 0.00        , 0.00  , 0.00     , 0.00       , 0.00
4             , 0.00        , 0.00  , 0.00     , 0.00       , 0.00
5             , 0.25        , 0.25  , 0.25     , 0.35       , 0.55
6             , 0.25        , 0.25  , 0.25     , 0.35       , 0.55
7             , 0.25        , 0.25  , 0.25     , 0.35       , 0.55
8             , 0.25        , 0.25  , 0.25     , 0.35       , 0.55
9             , 0.25        , 0.25  , 0.25     , 0.35       , 0.55
10            , 0.25        , 0.25  , 0.25     , 0.35       , 0.55
