HeatingDistributionCase , Environmental ID , R-744 , non R-744 2-stage , non R-744 3-stage , non R-744 4-stage , non R-744 continuous , electric heater , fuel heater
# only R-744
HD1                     , 1                , 100   , -                 , -                 , -                 , -                    , -               , -
HD1                     , 2                , 100   , -                 , -                 , -                 , -                    , -               , -
HD1                     , 3                , 100   , -                 , -                 , -                 , -                    , -               , -
HD1                     , 4                , 100   , -                 , -                 , -                 , -                    , -               , -
HD1                     , 5                , 100   , -                 , -                 , -                 , -                    , -               , -
HD1                     , 6                , 100   , -                 , -                 , -                 , -                    , -               , -
HD1                     , 7                , 100   , -                 , -                 , -                 , -                    , -               , -
HD1                     , 8                , 100   , -                 , -                 , -                 , -                    , -               , -
HD1                     , 9                , 100   , -                 , -                 , -                 , -                    , -               , -
HD1                     , 10               , 100   , -                 , -                 , -                 , -                    , -               , -
HD1                     , 11               , 100   , -                 , -                 , -                 , -                    , -               , -

# R-744 + other electric heater
HD2                     , 1                , 50    ,                   ,                   ,                   ,                      , 50              ,
HD2                     , 2                , 100   , -                 , -                 , -                 , -                    , 0               , -
HD2                     , 3                , 100   , -                 , -                 , -                 , -                    , 0               , -
HD2                     , 4                , 100   , -                 , -                 , -                 , -                    , 0               , -
HD2                     , 5                , 100   , -                 , -                 , -                 , -                    , 0               , -
HD2                     , 6                , 100   , -                 , -                 , -                 , -                    , 0               , -
HD2                     , 7                , 100   , -                 , -                 , -                 , -                    , 0               , -
HD2                     , 8                , 100   , -                 , -                 , -                 , -                    , 0               , -
HD2                     , 9                , 100   , -                 , -                 , -                 , -                    , 0               , -
HD2                     , 10               , 100   , -                 , -                 , -                 , -                    , 0               , -
HD2                     , 11               , 100   , -                 , -                 , -                 , -                    , 0               , -

# R-744 + other electric heater + fuel heater
HD3                     , 1                , 40    , -                 , -                 , -                 , -                    , 20              , 40
HD3                     , 2                , 70    , -                 , -                 , -                 , -                    , 0               , 30
HD3                     , 3                , 80    , -                 , -                 , -                 , -                    , 0               , 20
HD3                     , 4                , 100   , -                 , -                 , -                 , -                    , 0               , 0
HD3                     , 5                , 100   , -                 , -                 , -                 , -                    , 0               , 0
HD3                     , 6                , 100   , -                 , -                 , -                 , -                    , 0               , 0
HD3                     , 7                , 100   , -                 , -                 , -                 , -                    , 0               , 0
HD3                     , 8                , 100   , -                 , -                 , -                 , -                    , 0               , 0
HD3                     , 9                , 100   , -                 , -                 , -                 , -                    , 0               , 0
HD3                     , 10               , 100   , -                 , -                 , -                 , -                    , 0               , 0
HD3                     , 11               , 100   , -                 , -                 , -                 , -                    , 0               , 0

# R-744 + fuel heater
HD4                     , 1                , 40    , -                 , -                 , -                 , -                    , -               , 60
HD4                     , 2                , 70    , -                 , -                 , -                 , -                    , -               , 30
HD4                     , 3                , 80    , -                 , -                 , -                 , -                    , -               , 20
HD4                     , 4                , 100   , -                 , -                 , -                 , -                    , -               , 0
HD4                     , 5                , 100   , -                 , -                 , -                 , -                    , -               , 0
HD4                     , 6                , 100   , -                 , -                 , -                 , -                    , -               , 0
HD4                     , 7                , 100   , -                 , -                 , -                 , -                    , -               , 0
HD4                     , 8                , 100   , -                 , -                 , -                 , -                    , -               , 0
HD4                     , 9                , 100   , -                 , -                 , -                 , -                    , -               , 0
HD4                     , 10               , 100   , -                 , -                 , -                 , -                    , -               , 0
HD4                     , 11               , 100   , -                 , -                 , -                 , -                    , -               , 0

# Non R744 only
HD5                     , 1                , -     , 100               , 100               , 100               , 100                  , -               , -
HD5                     , 2                , -     , 100               , 100               , 100               , 100                  , -               , -
HD5                     , 3                , -     , 100               , 100               , 100               , 100                  , -               , -
HD5                     , 4                , -     , 100               , 100               , 100               , 100                  , -               , -
HD5                     , 5                , -     , 100               , 100               , 100               , 100                  , -               , -
HD5                     , 6                , -     , 100               , 100               , 100               , 100                  , -               , -
HD5                     , 7                , -     , 100               , 100               , 100               , 100                  , -               , -
HD5                     , 8                , -     , 100               , 100               , 100               , 100                  , -               , -
HD5                     , 9                , -     , 100               , 100               , 100               , 100                  , -               , -
HD5                     , 10               , -     , 100               , 100               , 100               , 100                  , -               , -
HD5                     , 11               , -     , 100               , 100               , 100               , 100                  , -               , -

# Non R-744 + other electric heater
HD6                     , 1                , -     , 0                 , 0                 , 0                 , 0                    , 100             , -
HD6                     , 2                , -     , 100               , 100               , 100               , 100                  , 0               , -
HD6                     , 3                , -     , 100               , 100               , 100               , 100                  , 0               , -
HD6                     , 4                , -     , 100               , 100               , 100               , 100                  , 0               , -
HD6                     , 5                , -     , 100               , 100               , 100               , 100                  , 0               , -
HD6                     , 6                , -     , 100               , 100               , 100               , 100                  , 0               , -
