HeatingDistributionCase , R-744 , non R-744 2-stage , non R-744 3-stage , non R-744 4-stage , non R-744 continuous , electric heater , fuel heater
HD1                     , 1     , 0                 , 0                 , 0                 , 0                    , 0               , 0

HD2                     , 1     , 0                 , 0                 , 0                 , 0                    , 1               , 0

HD3                     , 1     , 0                 , 0                 , 0                 , 0                    , 1               , 1

HD4                     , 1     , 0                 , 0                 , 0                 , 0                    , 0               , 1

HD5                     , 0     , 1                 , 0                 , 0                 , 0                    , 0               , 0
HD5                     , 0     , 0                 , 1                 , 0                 , 0                    , 0               , 0
HD5                     , 0     , 0                 , 0                 , 1                 , 0                    , 0               , 0
HD5                     , 0     , 0                 , 0                 , 0                 , 1                    , 0               , 0

HD6                     , 0     , 1                 , 0                 , 0                 , 0                    , 1               , 0
HD6                     , 0     , 0                 , 1                 , 0                 , 0                    , 1               , 0
HD6                     , 0     , 0                 , 0                 , 1                 , 0                    , 1               , 0
HD6                     , 0     , 0                 , 0                 , 0                 , 1                    , 1               , 0

HD7                     , 0     , 1                 , 0                 , 0                 , 0                    , 1               , 1
HD7                     , 0     , 0                 , 1                 , 0                 , 0                    , 1               , 1
HD7                     , 0     , 0                 , 0                 , 1                 , 0                    , 1               , 1
HD7                     , 0     , 0                 , 0                 , 0                 , 1                    , 1               , 1

HD8                     , 0     , 1                 , 0                 , 0                 , 0                    , 0               , 1
HD8                     , 0     , 0                 , 1                 , 0                 , 0                    , 0               , 1
HD8                     , 0     , 0                 , 0                 , 1                 , 0                    , 0               , 1
HD8                     , 0     , 0                 , 0                 , 0                 , 1                    , 0               , 1

HD9                     , 0     , 0                 , 0                 , 0                 , 0                    , 1               , 0

HD10                    , 0     , 0                 , 0                 , 0                 , 0                    , 1               , 1

HD11                    , 0     , 0                 , 0                 , 0                 , 0                    , 0               , 1

HD12                    , 0     , 0                 , 0                 , 0                 , 0                    , 0               , 0
