vehiclegroup       , heavyurban    , suburban     , urban         , interurban , coach
31 / P31SD / P31DD , 0.0995/0.0925 , 0.0873/0.104 , 0.0983/0.0931 , 0.9/0.9    ,
32 / P32SD / P32DD ,               ,              ,               , 0.9/0.9    , 0.9/0.9
33 / P33SD / P33DD , 0.0995/0.0925 , 0.0873/0.104 , 0.0983/0.0931 , 0.9/0.9    ,
34 / P34SD / P34DD ,               ,              ,               , 0.9/0.9    , 0.9/0.9
35 / P35SD / P35DD , 0.0995/0.0925 , 0.0873/0.104 , 0.0983/0.0931 , 0.9/0.9    ,
36 / P36SD / P36DD ,               ,              ,               , 0.9/0.9    , 0.9/0.9
37 / P37SD / P37DD , 0.0995/0.0925 , 0.0873/0.104 , 0.0983/0.0931 , 0.9/0.9    ,
38 / P38SD / P38DD ,               ,              ,               , 0.9/0.9    , 0.9/0.9
39 / P39SD / P39DD , 0.0995/0.0925 , 0.0873/0.104 , 0.0983/0.0931 , 0.9/0.9    ,
40 / P40SD / P40DD ,               ,              ,               , 0.9/0.9    , 0.9/0.9
