vehiclegroup       , heavyurban  , suburban    , urban       , interurban  , coach
31 / P31SD / P31DD , 2.90 / 2.70 , 2.40 / 2.20 , 3.00 / 2.80 , 0.10 / 0.10 ,
32 / P32SD / P32DD ,             ,             ,             , 0.10 / 0.10 , 1.80 / 1.70
33 / P33SD / P33DD , 2.90 / 2.70 , 2.40 / 2.20 , 3.00 / 2.80 , 0.10 / 0.10 ,
34 / P34SD / P34DD ,             ,             ,             , 0.10 / 0.10 , 1.80 / 1.70
35 / P35SD / P35DD , 2.90 / 2.70 , 2.40 / 2.20 , 3.00 / 2.80 , 0.10 / 0.10 ,
36 / P36SD / P36DD ,             ,             ,             , 0.10 / 0.10 , 1.80 / 1.70
37 / P37SD / P37DD , 2.90 / 2.70 , 2.40 / 2.20 , 3.00 / 2.80 , 0.10 / 0.10 ,
38 / P38SD / P38DD ,             ,             ,             , 0.10 / 0.10 , 1.80 / 1.70
39 / P39SD / P39DD , 2.90 / 2.70 , 2.40 / 2.20 , 3.00 / 2.80 , 0.10 / 0.10 ,
40 / P40SD / P40DD ,             ,             ,             , 0.10 / 0.10 , 1.80 / 1.70
