vehiclegroup ,longhaul      ,regionaldelivery ,urbandelivery ,municipalutility ,construction
53           ,              ,0.0898/0.0919    ,0.0957/0.096  ,                 ,             
54           ,              ,0.0898/0.0919    ,0.0957/0.096  ,                 ,             
1s           ,              ,0.0898/0.0919    ,0.0957/0.096  ,                 ,             
1            ,              ,0.0898/0.0919    ,0.0957/0.096  ,                 ,             
2            ,0.0956/0.1062 ,0.0898/0.0919    ,0.0957/0.096  ,                 ,             
3            ,              ,0.0898/0.0919    ,0.0957/0.096  ,                 ,             
4            ,0.0993/0.0905 ,0.0723/0.0632    ,0.0876/0.0925 ,0.9/0.9          ,0.9/0.9      
5            ,0.0993/0.0905 ,0.0723/0.0632    ,0.0876/0.0925 ,                 ,0.9/0.9      
9            ,0.0993/0.0905 ,0.0723/0.0632    ,              ,0.9/0.9          ,0.9/0.9      
10           ,0.0993/0.0905 ,0.0723/0.0632    ,              ,                 ,0.9/0.9      
11           ,0.0993/0.0905 ,0.0723/0.0632    ,              ,0.9/0.9          ,0.9/0.9      
12           ,0.0993/0.0905 ,0.0723/0.0632    ,              ,                 ,0.9/0.9      
16           ,              ,                 ,              ,                 ,0.9/0.9      
