vehiclegroup , longhaul  , regionaldelivery , urbandelivery , municipalutility , construction
53           ,           , 2.6 / 2.3        , 2.7 / 2.3     ,                  ,
54           ,           , 2.6 / 2.3        , 2.7 / 2.3     ,                  ,
1s           ,           , 2.6 / 2.3        , 2.7 / 2.3     ,                  ,
1            ,           , 2.6 / 2.3        , 2.7 / 2.3     ,                  ,
2            , 0.1 / 0.1 , 2.6 / 2.3        , 2.7 / 2.3     ,                  ,
3            ,           , 2.6 / 2.3        , 2.7 / 2.3     ,                  ,
4            , 1.4 / 1.3 , 2.2 / 2.6        , 1.9 / 2.3     , 2.1 / 2.1        , 2.1 / 2.1
5            , 1.4 / 1.3 , 2.2 / 2.6        , 1.9 / 2.3     ,                  , 2.1 / 2.1
9            , 1.4 / 1.3 , 2.2 / 2.6        ,               , 2.1 / 2.1        , 2.1 / 2.1
10           , 1.4 / 1.3 , 2.2 / 2.6        ,               ,                  , 2.1 / 2.1
11           , 1.4 / 1.3 , 2.2 / 2.6        ,               , 2.1 / 2.1        , 2.1 / 2.1
12           , 1.4 / 1.3 , 2.2 / 2.6        ,               ,                  , 2.1 / 2.1
16           ,           ,                  ,               ,                  , 2.1 / 2.1

