CompletedGroup, PrimaryGroup
31a, P31SD
31b1, P31SD
31b2, P31SD
31d, P31SD
31c, P31DD
31e, P31DD
32a, P32SD
32b, P32SD
32c, P32SD
32d, P32SD
32e, P32DD
32f, P32DD
33a, P33SD
33b1, P33SD
33b2, P33SD
33d, P33SD
33c, P33DD
33e, P33DD
34a, P34SD
34b, P34SD
34c, P34SD
34d, P34SD
34e, P34DD
34f, P34DD
35a, P35SD
35b1, P35SD
35b2, P35SD
35c, P35DD
36a, P36SD
36b, P36SD
36c, P36SD
36d, P36SD
36e, P36DD
36f, P36DD
37a, P37SD
37b1, P37SD
37b2, P37SD
37d, P37SD
37c, P37DD
37e, P37DD
38a, P38SD
38b, P38SD
38c, P38SD
38d, P38SD
38e, P38DD
38f, P38DD
39a, P39SD
39b1, P39SD
39b2, P39SD
39c, P39DD
40a, P40SD
40b, P40SD
40c, P40SD
40d, P40SD
40e, P40DD
40f, P40DD
