Technology                                                                 ,conventional ,P-HEV ,S-HEV ,PEV ,fully electric ,Long haul ,Regional delivery ,Urban delivery ,Municipal utility ,Construction
Crankshaft mounted - Electronically controlled visco clutch                ,           1 ,    1 ,    1 ,  0 ,             0 ,        0 ,              258 ,           198 ,                0 ,           0
Crankshaft mounted - Bimetallic controlled visco clutch                    ,           1 ,    1 ,    1 ,  0 ,             0 ,        0 ,              335 ,           260 ,                0 ,           0
Crankshaft mounted - Discrete step clutch                                  ,           1 ,    1 ,    1 ,  0 ,             0 ,        0 ,              277 ,           237 ,                0 ,           0
Crankshaft mounted - On/off clutch                                         ,           1 ,    1 ,    1 ,  0 ,             0 ,        0 ,              297 ,           256 ,                0 ,           0
Belt driven or driven via transm. - Electronically controlled visco clutch ,           1 ,    1 ,    1 ,  0 ,             0 ,        0 ,              402 ,           320 ,                0 ,           0
Belt driven or driven via transm. - Bimetallic controlled visco clutch     ,           1 ,    1 ,    1 ,  0 ,             0 ,        0 ,              478 ,           382 ,                0 ,           0
Belt driven or driven via transm. - Discrete step clutch                   ,           1 ,    1 ,    1 ,  0 ,             0 ,        0 ,              421 ,           378 ,                0 ,           0
Belt driven or driven via transm. - On/off clutch                          ,           1 ,    1 ,    1 ,  0 ,             0 ,        0 ,              440 ,           397 ,                0 ,           0
Hydraulic driven - Variable displacement pump                              ,           1 ,    1 ,    1 ,  0 ,             0 ,        0 ,              444 ,           320 ,                0 ,           0
Hydraulic driven - Constant displacement pump                              ,           1 ,    1 ,    1 ,  0 ,             0 ,        0 ,              538 ,           385 ,                0 ,           0
Electrically driven - Electronically controlled                            ,           1 ,    1 ,    1 ,  0 ,             1 ,        0 ,              308 ,           231 ,                0 ,           0
