Technology                                                                 ,conventional ,p-hev ,s-hev ,pev ,fully electric ,Long haul ,Regional delivery ,Urban delivery ,Municipal utility ,Construction ,Heavy Urban ,Urban ,Suburban ,Interurban ,Coach
Crankshaft mounted - Electronically controlled visco clutch                ,           1 ,    1 ,    1 ,  0 ,             0 ,      618 ,              671 ,           516 ,              566 ,        1037 ,       2000 , 2000 ,    2000 ,      1400 , 1400
Crankshaft mounted - Bimetallic controlled visco clutch                    ,           1 ,    1 ,    1 ,  0 ,             0 ,      818 ,              871 ,           676 ,              766 ,        1277 ,       3000 , 3000 ,    3000 ,      3000 , 3000
Crankshaft mounted - Discrete step clutch                                  ,           1 ,    1 ,    1 ,  0 ,             0 ,      668 ,              721 ,           616 ,              616 ,        1157 ,          0 ,    0 ,       0 ,         0 ,    0
Crankshaft mounted - Discrete step clutch 2 stages                         ,           1 ,    1 ,    1 ,  0 ,             0 ,        0 ,                0 ,             0 ,                0 ,           0 ,       3000 , 3000 ,    3000 ,      2400 , 2400
Crankshaft mounted - Discrete step clutch 3 stages                         ,           1 ,    1 ,    1 ,  0 ,             0 ,        0 ,                0 ,             0 ,                0 ,           0 ,       2000 , 2000 ,    2000 ,      1500 , 1600
Crankshaft mounted - On/off clutch                                         ,           1 ,    1 ,    1 ,  0 ,             0 ,      718 ,              771 ,           666 ,              666 ,        1237 ,       5000 , 5000 ,    5000 ,      4300 , 4000
Belt driven or driven via transm. - Electronically controlled visco clutch ,           1 ,    1 ,    1 ,  0 ,             0 ,      989 ,             1044 ,           833 ,              933 ,        1478 ,       2000 , 2000 ,    2000 ,      1400 , 1400
Belt driven or driven via transm. - Bimetallic controlled visco clutch     ,           1 ,    1 ,    1 ,  0 ,             0 ,     1189 ,             1244 ,           993 ,             1133 ,        1718 ,       3000 , 3000 ,    3000 ,      3000 , 3000
Belt driven or driven via transm. - Discrete step clutch                   ,           1 ,    1 ,    1 ,  0 ,             0 ,     1039 ,             1094 ,           983 ,              983 ,        1598 ,          0 ,    0 ,       0 ,         0 ,    0
Belt driven or driven via transm. - Discrete step clutch 2 stages          ,           1 ,    1 ,    1 ,  0 ,             0 ,        0 ,                0 ,             0 ,                0 ,           0 ,       3000 , 3000 ,    3000 ,      2400 , 2400
Belt driven or driven via transm. - Discrete step clutch 3 stages          ,           1 ,    1 ,    1 ,  0 ,             0 ,        0 ,                0 ,             0 ,                0 ,           0 ,       2000 , 2000 ,    2000 ,      1500 , 1600
Belt driven or driven via transm. - On/off clutch                          ,           1 ,    1 ,    1 ,  0 ,             0 ,     1089 ,             1144 ,          1033 ,             1033 ,        1678 ,       5000 , 5000 ,    5000 ,      4300 , 4000
Hydraulic driven - Variable displacement pump                              ,           1 ,    1 ,    1 ,  0 ,             0 ,      938 ,             1155 ,           832 ,              917 ,        1872 ,       1300 , 1300 ,    1300 ,      1600 , 1900
Hydraulic driven - Constant displacement pump                              ,           1 ,    1 ,    1 ,  0 ,             0 ,     1200 ,             1400 ,          1000 ,             1100 ,        2300 ,       1800 , 1800 ,    1800 ,      2000 , 2000
Electrically driven - Electronically controlled                            ,           1 ,    1 ,    1 ,  1 ,             1 ,      700 ,              800 ,           600 ,              600 ,        1400 ,       1000 , 1000 ,    1000 ,      1100 , 1200
