Technology , HDV Group , Long haul , Regional delivery , Urban delivery , Municipal utility , Construction
#          ,           ,           ,                   ,                ,                   ,
None       , 1s        , 0         , 0                 , 0              , 0                 , 0
None       , 1         , 0         , 0                 , 0              , 0                 , 0
None       , 2         , 0         , 0                 , 0              , 0                 , 0
None       , 3         , 0         , 0                 , 0              , 0                 , 0
None       , 4         , 0         , 0                 , 0              , 0                 , 0
None       , 5         , 0         , 0                 , 0              , 0                 , 0
None       , 9         , 0         , 0                 , 0              , 0                 , 0
None       , 10        , 0         , 0                 , 0              , 0                 , 0
None       , 11        , 0         , 0                 , 0              , 0                 , 0
None       , 12        , 0         , 0                 , 0              , 0                 , 0
None       , 16        , 0         , 0                 , 0              , 0                 , 0
#
None       , 51        , 0         , 0                 , 0              , 0                 , 0
None       , 52        , 0         , 0                 , 0              , 0                 , 0
None       , 53        , 0         , 0                 , 0              , 0                 , 0
None       , 54        , 0         , 0                 , 0              , 0                 , 0
None       , 55        , 0         , 0                 , 0              , 0                 , 0
None       , 56        , 0         , 0                 , 0              , 0                 , 0
#          ,           ,           ,                   ,                ,                   ,
Default    , 1s        , 200       , 150               , 150            ,                   ,
Default    , 1         , 200       , 150               , 150            ,                   ,
Default    , 2         , 200       , 200               , 150            ,                   ,
Default    , 3         , 200       , 200               , 150            ,                   ,
Default    , 4         , 350       , 200               , 150            , 300               , 200
Default    , 5         , 350       , 200               , 150            ,                   , 200
Default    , 9         , 350       , 200               , 150            , 300               , 200
Default    , 10        , 350       , 200               , 150            ,                   , 200
Default    , 11        , 350       , 200               , 150            , 300               , 200
Default    , 12        , 350       , 200               , 150            ,                   , 200
Default    , 16        , 350       , 200               , 150            ,                   , 200
#          ,           ,           ,                   ,                ,                   ,
Default    , 51        , 200       , 150               , 150            ,                   ,
Default    , 52        , 200       , 150               , 150            ,                   ,
Default    , 53        , 200       , 150               , 150            ,                   ,
Default    , 54        , 200       , 150               , 150            ,                   ,
Default    , 55        , 200       , 150               , 150            ,                   ,
Default    , 56        , 200       , 150               , 150            ,                   ,
