Technology                                 ,conventional ,P-HEV ,S-HEV ,PEV ,fully electric ,Long Haul ,Regional Delivery ,Urban  Delivery ,Municipal utility ,Construction ,Long Haul_el ,Regional Delivery_el ,Urban  Delivery_el ,Municipal utility_el ,Construction_el
Small                                      ,           1 ,    1 ,    1 ,  0 ,             0 ,     1400 ,             1300 ,           1200 ,             1200 ,        1300 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Small + ESS                                ,           1 ,    1 ,    1 ,  0 ,             0 ,      900 ,              800 ,            800 ,              800 ,         800 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Small + visco clutch                       ,           1 ,    1 ,    1 ,  0 ,             0 ,      800 ,              700 ,            700 ,              700 ,         700 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Small + mech. clutch                       ,           1 ,    1 ,    1 ,  0 ,             0 ,      600 ,              600 ,            650 ,              650 ,         600 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Small + ESS + AMS                          ,           1 ,    1 ,    1 ,  0 ,             0 ,      500 ,              400 ,            500 ,              500 ,         400 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Small + visco clutch + AMS                 ,           1 ,    1 ,    1 ,  0 ,             0 ,      400 ,              300 ,            400 ,              400 ,         300 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Small + mech. clutch + AMS                 ,           1 ,    1 ,    1 ,  0 ,             0 ,      200 ,              200 ,            350 ,              350 ,         200 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Medium Supply 1-stage                      ,           1 ,    1 ,    1 ,  0 ,             0 ,     1600 ,             1400 ,           1350 ,             1350 ,        1500 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Medium Supply 1-stage + ESS                ,           1 ,    1 ,    1 ,  0 ,             0 ,     1000 ,              900 ,            900 ,              900 ,         900 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Medium Supply 1-stage + visco clutch       ,           1 ,    1 ,    1 ,  0 ,             0 ,      850 ,              800 ,            800 ,              800 ,         750 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Medium Supply 1-stage + mech. clutch       ,           1 ,    1 ,    1 ,  0 ,             0 ,      600 ,              550 ,            550 ,              550 ,         600 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Medium Supply 1-stage + ESS + AMS          ,           1 ,    1 ,    1 ,  0 ,             0 ,      600 ,              700 ,            700 ,              700 ,         500 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Medium Supply 1-stage + visco clutch + AMS ,           1 ,    1 ,    1 ,  0 ,             0 ,      450 ,              600 ,            600 ,              600 ,         350 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Medium Supply 1-stage + mech. clutch + AMS ,           1 ,    1 ,    1 ,  0 ,             0 ,      200 ,              350 ,            350 ,              350 ,         200 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Medium Supply 2-stage                      ,           1 ,    1 ,    1 ,  0 ,             0 ,     2100 ,             1750 ,           1700 ,             1700 ,        2100 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Medium Supply 2-stage + ESS                ,           1 ,    1 ,    1 ,  0 ,             0 ,     1100 ,             1050 ,           1000 ,             1000 ,        1000 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Medium Supply 2-stage + visco clutch       ,           1 ,    1 ,    1 ,  0 ,             0 ,     1000 ,              850 ,            800 ,              800 ,         900 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Medium Supply 2-stage + mech. clutch       ,           1 ,    1 ,    1 ,  0 ,             0 ,      700 ,              650 ,            600 ,              600 ,         800 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Medium Supply 2-stage + ESS + AMS          ,           1 ,    1 ,    1 ,  0 ,             0 ,      700 ,              850 ,            800 ,              800 ,         500 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Medium Supply 2-stage + visco clutch + AMS ,           1 ,    1 ,    1 ,  0 ,             0 ,      600 ,              650 ,            600 ,              600 ,         400 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Medium Supply 2-stage + mech. clutch + AMS ,           1 ,    1 ,    1 ,  0 ,             0 ,      300 ,              450 ,            400 ,              400 ,         300 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Large Supply                               ,           1 ,    1 ,    1 ,  0 ,             0 ,     4300 ,             3600 ,           3500 ,             3500 ,        4100 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Large Supply + ESS                         ,           1 ,    1 ,    1 ,  0 ,             0 ,     1600 ,             1300 ,           1200 ,             1200 ,        1500 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Large Supply + visco clutch                ,           1 ,    1 ,    1 ,  0 ,             0 ,     1300 ,             1100 ,           1000 ,             1000 ,        1200 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Large Supply + mech. clutch                ,           1 ,    1 ,    1 ,  0 ,             0 ,      800 ,              800 ,            700 ,              700 ,         900 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Large Supply + ESS + AMS                   ,           1 ,    1 ,    1 ,  0 ,             0 ,     1100 ,             1000 ,           1000 ,             1000 ,        1000 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Large Supply + visco clutch + AMS          ,           1 ,    1 ,    1 ,  0 ,             0 ,      800 ,              800 ,            800 ,              800 ,         700 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Large Supply + mech. clutch + AMS          ,           1 ,    1 ,    1 ,  0 ,             0 ,      300 ,              500 ,            500 ,              500 ,         400 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Vacuum pump                                ,           1 ,    1 ,    1 ,  0 ,             0 ,      190 ,              160 ,            130 ,              130 ,         130 ,n.a.         ,n.a.                 ,n.a.               ,n.a.                 ,n.a.
Small + elec. driven                       ,           1 ,    1 ,    1 ,  1 ,             1 ,     1071 ,             1071 ,           1161 ,             1161 ,        1071 ,750          ,750                  ,813                ,813                  ,750
