HDV Class , Long haul , Regional delivery , Urban delivery , Municipal utility , Construction
1         ,           , 240/20/20         , 220/20/30      ,                   ,
2         , 340/30/0  , 290/30/20         , 260/20/30      ,                   ,
3         ,           , 310/30/30         , 280/30/40      ,                   ,
4         , 510/100/0 , 490/40/40         , 480/80/60      , 430/30/50         ,
5         , 600/120/0 , 540/90/40         , 480/80/60      ,                   ,
6         ,           ,                   ,                ,                   ,
7         ,           ,                   ,                ,                   ,
8         ,           ,                   ,                ,                   ,
9         , 600/120/0 , 490/60/40         , 480/80/60      , 430/30/50         ,
10        , 450/120/0 , 440/90/40         , 480/80/60      ,                   ,
11        , 600/120/0 , 490/60/40         ,                , 430/30/50         , 640/50/80
12        , 450/120/0 , 440/90/40         ,                ,                   , 640/50/80
16        ,           ,                   ,                ,                   , 640/50/80
