Vehicle Group      , WorkingDaysPerYear , Long haul , Regional delivery , Urban delivery , Municipal utility , Construction , Heavy Urban , Urban , Suburban , Interurban , Coach
53                 , 250                , ---       , 80000             , 60000          , ---               , ---          , ---         , ---   , ---      , ---        , ---
54                 , 250                , ---       , 80000             , 60000          , ---               , ---          , ---         , ---   , ---      , ---        , ---
1s                 , 250                , ---       , 80000             , 60000          , ---               , ---          , ---         , ---   , ---      , ---        , ---
1                  , 250                , ---       , 80000             , 60000          , ---               , ---          , ---         , ---   , ---      , ---        , ---
2                  , 250                , 120000    , 80000             , 60000          , ---               , ---          , ---         , ---   , ---      , ---        , ---
3                  , 250                , ---       , 80000             , 60000          , ---               , ---          , ---         , ---   , ---      , ---        , ---
4                  , 250                , 120000    , 80000             , 60000          , 25000             , 60000        , ---         , ---   , ---      , ---        , ---
5                  , 250                , 120000    , 80000             , 60000          , ---               , 60000        , ---         , ---   , ---      , ---        , ---
9                  , 250                , 120000    , 80000             , ---            , 25000             , 60000        , ---         , ---   , ---      , ---        , ---
10                 , 250                , 120000    , 80000             , ---            , ---               , 60000        , ---         , ---   , ---      , ---        , ---
11                 , 250                , 120000    , 80000             , ---            , 25000             , 60000        , ---         , ---   , ---      , ---        , ---
12                 , 250                , 120000    , 80000             , ---            , ---               , 60000        , ---         , ---   , ---      , ---        , ---
16                 , 250                , 120000    , 80000             , ---            , ---               , 60000        , ---         , ---   , ---      , ---        , ---
31 / P31SD / P31DD , 250                , ---       , ---               , ---            , ---               , ---          , 60000       , 60000 , 60000    , 80000      , ---
32 / P32SD / P32DD , 250                , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 80000      , 100000
33 / P33SD / P33DD , 250                , ---       , ---               , ---            , ---               , ---          , 60000       , 60000 , 60000    , 80000      , ---
34 / P34SD / P34DD , 250                , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 80000      , 100000
35 / P35SD / P35DD , 250                , ---       , ---               , ---            , ---               , ---          , 60000       , 60000 , 60000    , 80000      , ---
36 / P36SD / P36DD , 250                , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 80000      , 100000
37 / P37SD / P37DD , 250                , ---       , ---               , ---            , ---               , ---          , 60000       , 60000 , 60000    , 80000      , ---
38 / P38SD / P38DD , 250                , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 80000      , 100000
39 / P39SD / P39DD , 250                , ---       , ---               , ---            , ---               , ---          , 60000       , 60000 , 60000    , 80000      , ---
40 / P40SD / P40DD , 250                , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 80000      , 100000
