Vehicle Group      , Long haul , Regional delivery , Urban delivery , Municipal utility , Construction , Heavy Urban , Urban , Suburban , Interurban , Coach
53                 , ---       , 2                 , 4              , ---               , ---          , ---         , ---   , ---      , ---        , ---
54                 , ---       , 2                 , 4              , ---               , ---          , ---         , ---   , ---      , ---        , ---
1s                 , ---       , 2                 , 4              , ---               , ---          , ---         , ---   , ---      , ---        , ---
1                  , ---       , 2                 , 4              , ---               , ---          , ---         , ---   , ---      , ---        , ---
2                  , 1         , 2                 , 4              , ---               , ---          , ---         , ---   , ---      , ---        , ---
3                  , ---       , 2                 , 4              , ---               , ---          , ---         , ---   , ---      , ---        , ---
4                  , 1         , 2                 , 4              , 4                 , 2            , ---         , ---   , ---      , ---        , ---
5                  , 1         , 2                 , 4              , ---               , 2            , ---         , ---   , ---      , ---        , ---
9                  , 1         , 2                 , ---            , 4                 , 2            , ---         , ---   , ---      , ---        , ---
10                 , 1         , 2                 , ---            , ---               , 2            , ---         , ---   , ---      , ---        , ---
11                 , 1         , 2                 , ---            , 4                 , 2            , ---         , ---   , ---      , ---        , ---
12                 , 1         , 2                 , ---            , ---               , 2            , ---         , ---   , ---      , ---        , ---
16                 , 1         , 2                 , ---            , ---               , 2            , ---         , ---   , ---      , ---        , ---
31 / P31SD / P31DD , ---       , ---               , ---            , ---               , ---          , 10          , 10    , 10       , 5          , ---
32 / P32SD / P32DD , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 5          , 2
33 / P33SD / P33DD , ---       , ---               , ---            , ---               , ---          , 10          , 10    , 10       , 5          , ---
34 / P34SD / P34DD , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 5          , 2
35 / P35SD / P35DD , ---       , ---               , ---            , ---               , ---          , 10          , 10    , 10       , 5          , ---
36 / P36SD / P36DD , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 5          , 2
37 / P37SD / P37DD , ---       , ---               , ---            , ---               , ---          , 10          , 10    , 10       , 5          , ---
38 / P38SD / P38DD , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 5          , 2
39 / P39SD / P39DD , ---       , ---               , ---            , ---               , ---          , 10          , 10    , 10       , 5          , ---
40 / P40SD / P40DD , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 5          , 2
