Vehicle Group      , Start SoC before Mission , Stationary charging during mission , Real world factor inmotion charging during mission
53                 , 0.75                     , 0.50                               , 0.50
54                 , 0.75                     , 0.50                               , 0.50
1s                 , 0.75                     , 0.50                               , 0.50
1                  , 0.75                     , 0.50                               , 0.50
2                  , 0.75                     , 0.50                               , 0.50
3                  , 0.75                     , 0.50                               , 0.50
4                  , 0.75                     , 0.50                               , 0.50
5                  , 0.75                     , 0.50                               , 0.50
9                  , 0.75                     , 0.50                               , 0.50
10                 , 0.75                     , 0.50                               , 0.50
11                 , 0.75                     , 0.50                               , 0.50
12                 , 0.75                     , 0.50                               , 0.50
16                 , 0.75                     , 0.50                               , 0.50
31 / P31SD / P31DD , 0.90                     , 0.90                               , 0.50
32 / P32SD / P32DD , 0.90                     , 0.50                               , 0.50
33 / P33SD / P33DD , 0.90                     , 0.90                               , 0.50
34 / P34SD / P34DD , 0.90                     , 0.50                               , 0.50
35 / P35SD / P35DD , 0.90                     , 0.90                               , 0.50
36 / P36SD / P36DD , 0.90                     , 0.50                               , 0.50
37 / P37SD / P37DD , 0.90                     , 0.90                               , 0.50
38 / P38SD / P38DD , 0.90                     , 0.50                               , 0.50
39 / P39SD / P39DD , 0.90                     , 0.90                               , 0.50
40 / P40SD / P40DD , 0.90                     , 0.50                               , 0.50
