Vehicle Group      , Long haul , Regional delivery , Urban delivery , Municipal utility , Construction , Heavy Urban , Urban , Suburban , Interurban , Coach
53                 , ---       , 250               , 250            , ---               , ---          , ---         , ---   , ---      , ---        , ---
54                 , ---       , 250               , 250            , ---               , ---          , ---         , ---   , ---      , ---        , ---
1s                 , ---       , 250               , 250            , ---               , ---          , ---         , ---   , ---      , ---        , ---
1                  , ---       , 250               , 250            , ---               , ---          , ---         , ---   , ---      , ---        , ---
2                  , 500       , 250               , 250            , ---               , ---          , ---         , ---   , ---      , ---        , ---
3                  , ---       , 250               , 250            , ---               , ---          , ---         , ---   , ---      , ---        , ---
4                  , 500       , 250               , 250            , 150               , 100          , ---         , ---   , ---      , ---        , ---
5                  , 500       , 250               , 250            , ---               , 100          , ---         , ---   , ---      , ---        , ---
9                  , 500       , 250               , ---            , 150               , 100          , ---         , ---   , ---      , ---        , ---
10                 , 500       , 250               , ---            , ---               , 100          , ---         , ---   , ---      , ---        , ---
11                 , 500       , 250               , ---            , 150               , 100          , ---         , ---   , ---      , ---        , ---
12                 , 500       , 250               , ---            , ---               , 100          , ---         , ---   , ---      , ---        , ---
16                 , 500       , 250               , ---            , ---               , 100          , ---         , ---   , ---      , ---        , ---
31 / P31SD / P31DD , ---       , ---               , ---            , ---               , ---          , 450         , 450   , 450      , 300        , ---
32 / P32SD / P32DD , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 300        , 300
33 / P33SD / P33DD , ---       , ---               , ---            , ---               , ---          , 450         , 450   , 450      , 300        , ---
34 / P34SD / P34DD , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 300        , 300
35 / P35SD / P35DD , ---       , ---               , ---            , ---               , ---          , 450         , 450   , 450      , 300        , ---
36 / P36SD / P36DD , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 300        , 300
37 / P37SD / P37DD , ---       , ---               , ---            , ---               , ---          , 450         , 450   , 450      , 300        , ---
38 / P38SD / P38DD , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 300        , 300
39 / P39SD / P39DD , ---       , ---               , ---            , ---               , ---          , 450         , 450   , 450      , 300        , ---
40 / P40SD / P40DD , ---       , ---               , ---            , ---               , ---          , ---         , ---   , ---      , 300        , 300
