t, Pe_FullDyn
2.0000, 69198.8142
2.1000, 77570.6065
2.2000, 85534.1016
2.3000, 93109.2125
2.4000, 100314.8809
2.5000, 107169.1247
2.6000, 113689.0831
2.7000, 119891.0593
2.8000, 125790.5616
2.9000, 131402.3418
3.0000, 136740.4322
3.1000, 141818.1809
3.2000, 146648.2849
3.3000, 151242.8219
3.4000, 155613.2807
3.5000, 159770.5897
3.6000, 163725.1444
3.7000, 167486.8331
3.8000, 171065.0621
3.9000, 174468.7789
4.0000, 177706.4944
4.1000, 180786.3046
4.2000, 183715.9108
4.3000, 186502.6384
4.4000, 189153.4556
4.5000, 191674.9910
4.6000, 194073.5496
4.7000, 196355.1292
4.8000, 198525.4348
4.9000, 200589.8934
5.0000, 202553.6671
5.1000, 204421.6664
5.2000, 206198.5624
5.3000, 207888.7981
5.4000, 209496.6000
5.5000, 211025.9885
5.6000, 212480.7879
5.7000, 213864.6359
5.8000, 215180.9928
5.9000, 216433.1502
6.0000, 217624.2391
6.1000, 218757.2380
6.2000, 219834.9799
6.3000, 220860.1597
6.4000, 221835.3408
6.5000, 222762.9619
6.6000, 223645.3423
6.7000, 224484.6885
6.8000, 225283.0993
6.9000, 226042.5712
7.0000, 226765.0031
7.1000, 227452.2017
7.2000, 228105.8852
7.3000, 228727.6882
7.4000, 229319.1654
7.5000, 229881.7960
7.6000, 230416.9868
7.7000, 230926.0760
7.8000, 231410.3367
7.9000, 231870.9796
8.0000, 232309.1568
8.1000, 232725.9638
8.2000, 233122.4428
8.3000, 233499.5854
8.4000, 233858.3345
8.5000, 234199.5872
8.6000, 234524.1968
8.7000, 234832.9750
8.8000, 235126.6940
8.9000, 235406.0881
9.0000, 235671.8559
9.1000, 235924.6621
9.2000, 236165.1389
9.3000, 236393.8874
9.4000, 236611.4797
9.5000, 236818.4600
9.6000, 237015.3456
9.7000, 237202.6291
9.8000, 237380.7786
9.9000, 237550.2397
10.1000, 237864.7708
10.2000, 69198.8142
10.3000, 69198.8142
10.4000, 69198.8142
10.5000, 69198.8142
10.6000, 69198.8142
10.7000, 69198.8142
10.8000, 69198.8142
10.9000, 69198.8142
11.0000, 69198.8142
11.1000, 69198.8142
11.2000, 69198.8142
11.3000, 69198.8142
11.4000, 69198.8142
11.5000, 69198.8142
11.6000, 69198.8142
11.7000, 69198.8142
11.8000, 69198.8142
11.9000, 69198.8142
12.0000, 69198.8142
12.1000, 69198.8142
12.2000, 69198.8142
12.3000, 69198.8142
12.4000, 69198.8142
12.5000, 69198.8142
12.6000, 69198.8142
12.7000, 69198.8142
12.8000, 69198.8142
12.9000, 69198.8142
13.0000, 69198.8142
13.1000, 69198.8142
13.2000, 69198.8142
13.3000, 69198.8142
13.4000, 69198.8142
13.5000, 69198.8142
13.6000, 69198.8142
13.7000, 69198.8142
13.8000, 69198.8142
13.9000, 69198.8142
14.0000, 69198.8142
14.1000, 69198.8142
14.2000, 69198.8142
14.3000, 69198.8142
14.4000, 69198.8142
14.5000, 69198.8142
14.6000, 69198.8142
14.7000, 69198.8142
14.8000, 69198.8142
14.9000, 69198.8142
15.0000, 69198.8142
15.1000, 69198.8142
15.2000, 69198.8142
15.3000, 69198.8142
15.4000, 69198.8142
15.5000, 69198.8142
15.6000, 69198.8142
15.7000, 69198.8142
15.8000, 69198.8142
15.9000, 69198.8142
16.0000, 69198.8142
16.1000, 69198.8142
16.2000, 69198.8142
16.3000, 69198.8142
16.4000, 69198.8142
16.5000, 69198.8142
16.6000, 69198.8142
16.7000, 69198.8142
16.8000, 69198.8142
16.9000, 69198.8142
17.0000, 69198.8142
17.1000, 69198.8142
17.2000, 69198.8142
17.3000, 69198.8142
17.4000, 69198.8142
17.5000, 69198.8142
17.6000, 69198.8142
17.7000, 69198.8142
17.8000, 69198.8142
17.9000, 69198.8142
18.0000, 69198.8142
18.1000, 69198.8142
18.2000, 69198.8142
18.3000, 69198.8142
18.4000, 69198.8142
18.5000, 69198.8142
18.6000, 69198.8142
18.7000, 69198.8142
18.8000, 69198.8142
18.9000, 69198.8142
19.0000, 69198.8142
19.1000, 69198.8142
19.2000, 69198.8142
19.3000, 69198.8142
19.4000, 69198.8142
19.5000, 69198.8142
19.6000, 69198.8142
19.7000, 69198.8142
19.8000, 69198.8142
19.9000, 69198.8142
20.0000, 69198.8142
20.1000, 69198.8142
20.2000, 69198.8142
20.3000, 69198.8142
20.4000, 69198.8142
20.5000, 69198.8142
20.6000, 69198.8142
20.7000, 69198.8142
20.8000, 69198.8142
20.9000, 69198.8142
21.0000, 69198.8142
21.1000, 69198.8142
21.2000, 69198.8142
21.3000, 69198.8142
21.4000, 69198.8142
21.5000, 69198.8142
21.6000, 69198.8142
21.7000, 69198.8142
21.8000, 69198.8142
21.9000, 69198.8142
22.0000, 69198.8142
22.1000, 69198.8142
22.2000, 69198.8142
22.3000, 69198.8142
22.4000, 69198.8142
22.5000, 69198.8142
22.6000, 69198.8142
22.7000, 69198.8142
22.8000, 69198.8142
22.9000, 69198.8142
23.0000, 69198.8142
23.1000, 69198.8142
23.2000, 69198.8142
23.3000, 69198.8142
23.4000, 69198.8142
23.5000, 69198.8142
23.6000, 69198.8142
23.7000, 69198.8142
23.8000, 69198.8142
23.9000, 69198.8142
24.0000, 69198.8142
24.1000, 69198.8142
24.2000, 69198.8142
24.3000, 69198.8142
24.4000, 69198.8142
24.5000, 69198.8142
24.6000, 69198.8142
24.7000, 69198.8142
24.8000, 69198.8142
24.9000, 69198.8142
25.0000, 69198.8142
