t,Pe_FullDyn
0,109479.743989
0.5,169195.967983
1,201768.453797
1.5,219535.264242
2,229226.251757
2.5,234512.244947
3,237395.51396
3.5,238968.206149
4,239826.038252
4.5,240293.946671
5,240549.169446
5.5,240688.381868
6,240764.315917
6.5,240805.734489
7,240828.326437
7.5,240840.649318
8,240847.37089
8.5,240851.037201
9,240853.037008
9.5,240854.127811
10,240854.722795
10.5,131407.121524
11,71708.429922
11.5,39145.50723
12,21383.913035
12.5,11695.770746
13,6411.329498
13.5,3528.906999
14,1956.676545
14.5,1099.096297
15,631.325253
15.5,376.177411
16,237.00586
16.5,161.094106
17,119.687694
17.5,97.102379
18,84.783116
18.5,78.063518
19,74.398282
19.5,72.399063
20,71.30858
20.5,70.713771
21,70.38933
21.5,70.212362
22,70.115834
22.5,70.063182
23,70.034463
23.5,70.018798
24,70.010253
24.5,70.005593
25,70.003051
