t,Pe_FullDyn
2.00,69198.8142
3.25,219481.7031
3.65,229881.7960
3.85,232992.4796
4.55,238406.8866
5.45,240309.0914
6.15,240685.3031
6.25,240711.4217
6.45,240752.2455
7.25,240828.2358
7.95,240846.9663
8.35,240851.0879
8.65,240852.7990
8.85,240853.5468
9.65,240854.9386
9.95,240855.1346
10.00,240855.1588
10.40,117221.8032
11.20,177379.8128
12.00,177379.8128
12.20,69198.8142
13.20,195373.1647
13.40,69198.8142
14.10,165867.8474
14.20,69198.8142
14.90,165867.8474
15.00,69198.8142
15.90,187124.4811
16.10,69198.8142
16.50,117221.8032
16.70,69198.8142
17.30,152268.0673
18.20,187124.4811
18.60,117221.8032
19.00,117221.8032
19.50,136201.8254
19.60,69198.8142
20.00,117221.8032
20.90,187124.4811
21.70,177379.8128
21.80,69198.8142
21.90,69198.8142
22.60,165867.8474
23.50,187124.4811
24.20,165867.8474
24.90,165867.8474
25,0
