DeltaEnergyBat: 499683650725.3379 [Ws] / 138801.01409037164
timeFCCanIncrease: 4521.4081 [s]
Time, dt, Distance, P_el_dem, P_FC_raw, P_FC, P_Bat_T, P_Bat_loss, P_FC_corr, delta_Power_corr, P_REESS_int, SoC, CanChangeFCPower, FCPowerFinal
0.50,1.00, 0.00, 0.00, 115523.68, 115523.68,115523.68, 984.74, 116508.42, 116508.42, 114538.94, 0.53, True, 9072.88
1.35,0.71, 0.25, -24364.70, 115523.68, 115523.68,91158.97, 615.36, 116139.04, 91774.34, 90543.61, 0.54, True, 9269.79
1.90,0.39, 0.60, -50944.63, 115523.68, 115523.68,64579.05, 310.04, 115833.72, 64889.09, 64269.01, 0.55, True, 9483.26
2.31,0.42, 1.15, -62619.75, 115523.68, 115523.68,52903.92, 208.43, 115732.11, 53112.35, 52695.49, 0.55, True, 9576.75
2.74,0.44, 1.91, -70414.80, 115523.68, 115523.68,45108.87, 151.71, 115675.39, 45260.58, 44957.16, 0.55, True, 9639.13
3.18,0.45, 2.89, -87560.80, 115523.68, 115523.68,27962.88, 58.45, 115582.12, 28021.33, 27904.43, 0.56, True, 9776.23
3.63,0.46, 4.09, -104755.88, 115523.68, 115523.68,10767.79, 8.69, 115532.37, 10776.48, 10759.10, 0.56, True, 9913.77
4.09,0.46, 5.52, -121808.60, 115523.68, 115523.68,-6284.92, 2.97, 115526.65, -6281.96, -6287.89, 0.56, True, 10050.39
4.56,0.47, 7.18, -139321.57, 115523.68, 115523.68,-23797.89, 42.66, 115566.34, -23755.23, -23840.55, 0.56, True, 10191.08
5.03,0.47, 9.08, -157452.81, 115523.68, 115523.68,-41929.14, 132.80, 115656.48, -41796.34, -42061.94, 0.55, True, 10337.38
5.58,0.64, 12.00, -178757.80, 115523.68, 115523.68,-63234.12, 303.02, 115826.70, -62931.10, -63537.14, 0.54, True, 10510.38
6.14,0.48, 14.45, -200307.34, 115523.68, 115523.68,-84783.66, 546.54, 116070.21, -84237.12, -85330.20, 0.53, True, 10686.89
6.62,0.48, 17.14, -219234.61, 115523.68, 115523.68,-103710.93, 820.17, 116343.85, -102890.76, -104531.10, 0.52, True, 10843.50
7.09,0.48, 20.06, -238287.16, 115523.68, 115523.68,-122763.48, 1152.58, 116676.25, -121610.91, -123916.06, 0.51, True, 11002.90
7.58,0.48, 23.23, -257511.50, 115523.68, 115523.68,-141987.82, 1546.41, 117070.09, -140441.41, -143534.24, 0.49, True, 11165.78
8.06,0.48, 26.64, -277081.17, 115523.68, 115523.68,-161557.49, 2008.16, 117531.84, -159549.33, -163565.65, 0.48, True, 11333.98
8.54,0.48, 30.29, -291075.41, 115523.68, 115523.68,-175551.74, 2376.31, 117899.99, -173175.43, -177928.04, 0.46, True, 11455.87
9.03,0.49, 34.18, -302082.02, 115523.68, 115523.68,-186558.35, 2688.25, 118211.93, -183870.09, -189246.60, 0.44, True, 11552.74
9.51,0.49, 38.30, -312130.08, 115523.68, 115523.68,-196606.40, 2990.34, 118514.02, -193616.06, -199596.74, 0.41, True, 11642.00
10.00,0.49, 42.64, -321139.04, 115523.68, 115523.68,-205615.36, 3275.31, 118798.99, -202340.05, -208890.67, 0.39, True, 11722.74
10.49,0.49, 47.21, -329107.21, 115523.68, 115523.68,-213583.54, 3538.52, 119062.20, -210045.01, -217122.06, 0.37, True, 11794.72
